zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,priceForHDP,taxAssessedValue,lotAreaValue,brokerName
2059952521,518 Beatty St #701,V6B6G8,Vancouver,BC,49.280796,-123.10869,655000.0,1.0,1.0,627.0,CONDO,655000.0,,0.0,Sutton Group-West Coast Realty Brokerage
314391837,4493 Fleming St,V5N3W4,Vancouver,BC,49.24454,-123.072495,2050000.0,7.0,6.0,2179.0,SINGLE_FAMILY,2050000.0,1312100.0,3920.4,YVR International Realty Brokerage
2060162970,1530 W 8th Ave #405,V6J5M6,Vancouver,BC,49.264275,-123.13981,1980000.0,3.0,2.0,1468.0,CONDO,1980000.0,,0.0,Stilhavn Real Estate Services Brokerage
314427877,1065 Richards St,V6B0C2,Vancouver,BC,49.277573,-123.12227,1498000.0,3.0,2.0,1151.0,TOWNHOUSE,1498000.0,1481000.0,0.0,Macdonald Realty Brokerage
2060261704,665 W 7th Ave #206,V5Z1B6,Vancouver,BC,49.26528,-123.11894,1049000.0,1.0,2.0,869.0,TOWNHOUSE,1049000.0,,0.0,Stilhavn Real Estate Services Brokerage
2060456136,1833 Frances St #1103,V5L1Z8,Vancouver,BC,49.27959,-123.06692,699000.0,2.0,2.0,904.0,CONDO,699000.0,,0.0,Keller Williams Realty VanCentral Brokerage
2066435151,2088 Barclay St #302,V6G1L5,Vancouver,BC,49.2925,-123.14203,1099000.0,1.0,1.0,837.0,CONDO,1099000.0,,0.0,Faith Wilson Group Brokerage
2062251511,3536 Sawmill Cres,V5S0E3,Vancouver,BC,,,989900.0,3.0,2.0,1003.0,TOWNHOUSE,989900.0,,0.0,Wesgroup Realty Ltd. Brokerage
314324455,2040 Cornwall Ave #311,V6J1E1,Vancouver,BC,49.27225,-123.1512,628880.0,1.0,1.0,595.0,CONDO,628880.0,517300.0,0.0,RE/MAX City Realty Brokerage
2061585414,2917 Parker St,V5K2T1,Vancouver,BC,49.275658,-123.05611,1550000.0,3.0,3.0,1654.0,MULTI_FAMILY,1550000.0,,0.0,Engel & Volkers Vancouver Brokerage
2060524970,1067 Marinaside Cres #3A,V6Z3A4,Vancouver,BC,49.27369,-123.11722,3200000.0,3.0,3.0,1934.0,TOWNHOUSE,3200000.0,,0.0,RE/MAX Crest Realty Brokerage
2060151253,283 Davie St #1503/04,V6B5T6,Vancouver,BC,49.274555,-123.120865,8995000.0,4.0,2.0,4222.0,CONDO,8995000.0,,0.0,RE/MAX Colonial Pacific Realty Brokerage
2061458437,838 E 56th Ave,V5X1P7,Vancouver,BC,49.219517,-123.10582,1688000.0,4.0,4.0,1378.0,MULTI_FAMILY,1688000.0,,3484.8,RE/MAX Crest Realty Brokerage
2060476588,2171 Guelph St,V5T3N7,Vancouver,BC,49.26582,-123.09518,1288000.0,2.0,3.0,1063.0,TOWNHOUSE,1288000.0,,2613.6,Engel & Volkers Vancouver Brokerage
